id,file,subject,domain,scene_type,scene_context,size_bin,position_bin,background_complexity,occlusion_proxy,segmentation_fraction,mask_fill_ratio,sha256
13,13_guitar_wall.jpg,guitar,furniture_and_daily_objects,indoor,indoor_home,medium,bottom,low,high,0.15910721,0.35528770,1bd4ae72d61622f00dadd26765f09cf2326269f88763ca14d183b977e50a67a9
14,14_camera_table.jpg,camera,furniture_and_daily_objects,indoor,indoor_workplace_or_public,medium,center,medium,low,0.11258316,0.68987845,862cb3c17dd9615870666c507ba221fc0326a33d86efd6bc08b94b0ccc059f6d
15,15_basketball_court.jpg,basketball,furniture_and_daily_objects,outdoor,outdoor_recreational,medium,center,low,medium,0.14976883,0.58366783,8e102a8a1aee6d340bfc1d7cd9a477b7b94f2cc94a14fa3484e794a80596bf66
16,16_legacy_01_woman.jpg,woman,people,outdoor,outdoor_natural_or_rural,large,center,high,medium,0.21693802,0.56100424,b730d7ac0da2f7f595b198877439a6deaae5da1c113032705c2b6924a7f991dc
17,17_legacy_02_boat.jpg,boat,vehicles,outdoor,outdoor_natural_or_rural,small,center,medium,medium,0.07014847,0.63786465,347ff50b6002cf7a03f6825c136abf9421705dd2c9c0bf0eb4ce7b42818ed740
18,18_legacy_03_dog.jpg,dog,animals,outdoor,outdoor_natural_or_rural,large,center,low,low,0.24900818,0.76961894,b91d0f897ff6a7ff1bd40ff252b2b6ea27dab99f32dc99f43ea101d053f9420c
19,19_coco_dog.png,dog,animals,outdoor,outdoor_natural_or_rural,small,top,high,high,0.03682709,0.32772082,3a73142c92a0524d3a4e6e95eb1cf323a0ba1536677fd36cf2c98dfaf6f7953c
20,20_legacy_05_polar_bear_cub.jpg,puppy,animals,outdoor,outdoor_natural_or_rural,medium,center,low,medium,0.15256882,0.46047481,d8ec4355378c85189a97e67862befaca248907d9b0a13ba73c46e280c9498572
21,21_legacy_06_archer.jpg,archer,people,outdoor,outdoor_recreational,medium,center,high,medium,0.09534073,0.57126857,e646616da56b83ed9f8c84f516c664605c97bfb45a2dea483cfc0b6a8bdb03a8
22,22_legacy_07_bus.jpg,bus,vehicles,outdoor,outdoor_urban_or_built,small,left,high,low,0.06141663,0.79861111,e511cef2e77bf29c41da6bb979e3cea0c7f6b5bbe1e2fc16c218091d34ffb268
23,23_legacy_08_vase.jpg,perfume bottle,furniture_and_daily_objects,indoor,indoor_home,medium,center,low,low,0.12673950,0.88286565,30d98dadbe1729988b78947b0e89365ba4287904b173cee5003682e073b065e8
24,24_legacy_09_cactus.jpg,pineapple,food,indoor,indoor_workplace_or_public,small,left,low,medium,0.04382324,0.63385566,339f9714e69575a9567970d0ffa0a12a041f7f30c769a2ca8f68eed32ff07aa9
25,25_legacy_10_bear.jpg,hiker,people,outdoor,outdoor_natural_or_rural,small,center,high,high,0.02172852,0.37935398,c2d538fc2e7118ae67619a2e4c6b61051d1b39e14e473e9fc5a319af98c2a126
26,26_skier.png,skier,people,outdoor,outdoor_recreational,medium,center,low,medium,0.13735962,0.58644951,b8eddb26f9d76b32a5e0fd52e5d3b587fc50c5a4e18743573e9380f90931b524
27,27_bicycle.png,bicycle,vehicles,outdoor,outdoor_urban_or_built,medium,center,low,medium,0.09393311,0.57726932,3870d6d06d17695b51566ed0b72434d611d1cc409bdb7aa95fce8acc1de3b4f1
28,28_motorcycle.png,motorcycle,vehicles,outdoor,outdoor_urban_or_built,medium,center,high,medium,0.14153290,0.56836913,3e95a08e72928fb0f70077fa30e3eec8785f12bc07289126856a872ce7dd1a6e
29,29_train.png,train,vehicles,outdoor,outdoor_urban_or_built,medium,center,medium,low,0.14758301,0.66210296,7e2546d6194224399ffb2784acfe4d0a04500f0d6f9c4f8a1c025f11742ad9df
30,30_truck.png,truck,vehicles,outdoor,outdoor_urban_or_built,medium,center,medium,low,0.14289856,0.78131192,ea9d4d7d5b1dd44aaef1c3c7a0ea8d38f3eea1aac6aafbc3e082b76a2f16f641
31,31_elephant.png,elephant,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.12421036,0.46393765,b0919b5e752267baff8529e6c3e4d6ebdace767b214799020865ba2d780ad63b
32,32_giraffe.png,giraffe,animals,outdoor,outdoor_natural_or_rural,medium,center,high,high,0.08028412,0.32818738,d2957c0fce0080697a33cd0203d39a5039563b99064ccc7efd771091c07a1807
33,33_zebra.png,zebra,animals,outdoor,outdoor_natural_or_rural,medium,center,high,medium,0.14595795,0.57985906,626fe0ffa0dd9d698aba5ec3cdbdd8cb500b02815c667ab824741a4e9feb5adf
34,34_surfboard.png,surfboard,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,medium,center,high,medium,0.09296417,0.51051617,68ce9d46c6bf13d146ef73fa3c6cb94ddab22535d7942efb7851e2a1bc5a92ad
35,35_couch.png,couch,furniture_and_daily_objects,indoor,indoor_home,medium,right,medium,medium,0.11585999,0.61079940,d8f76b8bd21aa3d89573e2f4377783853e9dee50798b12f2187ad47d8f44cf5a
36,36_potted_plant.png,potted plant,furniture_and_daily_objects,indoor,indoor_home,medium,center,medium,medium,0.15100098,0.60970688,10e7f4b3748107e99863e2848a876ac14ea93e3ac63d8b860036875b109a0811
37,37_laptop.png,laptop,furniture_and_daily_objects,indoor,indoor_workplace_or_public,medium,center,low,low,0.14545441,0.78618557,c82107ab797f5bbce21b29df638843d5ea4f7c50ea594c214f906302fc55a17c
38,38_pizza.png,pizza,food,indoor,indoor_dining,medium,bottom,medium,low,0.15100098,0.80412790,01c467fcb2f0dcdcc986e7606cd6f189671219a8f320123a46450da7ca78e86c
39,39_teddy_bear.png,teddy bear,furniture_and_daily_objects,outdoor,outdoor_urban_or_built,medium,center,medium,medium,0.15710831,0.64725758,0ead75c8732b1c3944d348960e1e3f2cee08f64bf261f139cef8fd5f25acce95
40,40_clock.png,clock,furniture_and_daily_objects,indoor,indoor_home,medium,center,medium,low,0.11248779,0.79667153,172ad90179c61432b2506605c7fe79a1029f42b22e6dd83783733cefc771f98c
